Type,Latitude,Longitude
Schools,-24.333793,150.53829
Schools,-27.583771,153.296243
Schools,-26.054552,151.008357
Schools,-27.517796,152.978564
Schools,-17.593316,145.999718
Schools,-27.57053,152.953709
Schools,-16.924071,145.742334
Schools,-17.736553,146.001015
Schools,-19.274536,146.816033
Schools,-18.146492,144.320214
Schools,-26.262595,152.871678
Schools,-25.290934,152.901988
Schools,-27.412529,152.969796
Schools,-25.209936,152.032553
Schools,-27.492371,153.215804
Schools,-23.365846,150.529858
Schools,-26.25718,150.043826
Schools,-20.899203,148.77029
Schools,-27.493559,153.102204
Schools,-26.963161,151.215991
Schools,-27.215171,153.110038
Schools,-27.612132,152.748437
Schools,-28.087605,153.448878
Schools,-26.535406,153.078039
Schools,-21.085942,149.186561
Schools,-24.898075,152.363972
Schools,-27.967808,144.631037
Schools,-22.811606,149.895151
Schools,-28.041004,153.376418
Schools,-19.315402,146.802273
Schools,-27.586143,152.97958
Schools,-27.513358,153.062016
Schools,-26.614718,144.271602
Schools,-21.472275,149.144945
Schools,-26.956752,152.957333
Schools,-27.347972,153.059665
Schools,-24.181038,149.809072
Schools,-27.491516,153.151924
Schools,-16.341984,145.413002
Schools,-28.487411,149.470381
Schools,-25.949998,152.602903
Schools,-27.323768,153.080814
Schools,-28.59481,151.812343
Schools,-28.17194,153.529082
Schools,-26.885112,152.142058
Schools,-27.413665,153.063372
Schools,-24.724664,152.112119
Schools,-26.68792,153.103283
Schools,-27.535843,153.023691
Schools,-27.580754,153.125375
Schools,-27.246573,153.108783
Schools,-25.585416,151.293931
Schools,-27.667894,153.053933
Schools,-27.523968,153.215116
Schools,-27.897484,153.32662
Schools,-23.513504,148.158367
Schools,-21.115555,149.173625
Schools,-20.061246,146.272748
Schools,-24.421857,150.429364
Schools,-24.173164,150.375234
Schools,-17.534776,146.032501
Schools,-27.55471,151.697581
Schools,-27.66793,153.110275
Schools,-26.392557,151.244376
Schools,-27.538499,152.939956
Schools,-27.294188,153.051343
Schools,-21.694428,139.511902
Schools,-21.093001,149.17124
Schools,-17.654209,145.955526
Schools,-27.625799,152.958417
Schools,-27.383548,153.061534
Schools,-27.623646,152.395629
Schools,-27.05846,152.952785
Schools,-27.959634,153.393324
Schools,-25.898519,139.352239
Schools,-16.938338,145.744983
